albumentations-team+albumentations,0.5.1,760,Method,Top@1,Top@5,MRR
apache+incubator-mxnet,1.3.0,12662,bjXnet,0.1222222222222222,0.2222222222222222,0.11292929292929291
apache+incubator-mxnet,1.3.0,12778,bjXnet,0.11408450704225351,0.2140845070422535,0.1099577054161704
apache+incubator-mxnet,1.3.0,12778,bjXnet,0.1046728971962616,0.2046728971962616,0.1064014892485373
apache+incubator-mxnet,1.3.0,12783,bjXnet,0.43333333333333335,0.5333333333333333,0.3916666666666666
apache+incubator-mxnet,1.3.0,12783,bjXnet,0.11851851851851851,0.2185185185185185,0.11139601139601131
apache+incubator-mxnet,1.3.0,12787,bjXnet,0.6,0.7,0.6
apache+incubator-mxnet,1.3.0,12787,bjXnet,0.43333333333333335,0.5333333333333333,0.43333333333333335
apache+incubator-mxnet,1.3.0,12868,bjXnet,0.2,0.30000000000000004,0.1785714285714285
apache+incubator-mxnet,1.3.0,12868,bjXnet,0.30000000000000004,0.4,0.2192307692307692
apache+incubator-mxnet,1.3.0,13032,bjXnet,0.2428571428571428,0.3428571428571428,0.2428571428571428
apache+incubator-mxnet,1.3.0,13032,bjXnet,0.2428571428571428,0.3428571428571428,0.2428571428571428
apache+incubator-mxnet,1.3.0,13078,bjXnet,0.15000000000000002,0.25,0.15000000000000002
apache+incubator-mxnet,1.3.0,13078,bjXnet,0.6,0.7,0.6
