Project,Version,Bug_ID,Method,GTF,Top_Rank,MRR,MAP
mitmproxy+mitmproxy,v2.0.1,2266,bluir,7,3,0.333333333,0.073086404
mitmproxy+mitmproxy,v2.0.2,2315,buglocator,2,3,0.333333333,0.416666667
mitmproxy+mitmproxy,v2.0.2,2315,bluir,2,2,0.5,0.416666667
mitmproxy+mitmproxy,v2.0.2,2324,buglocator,2,8,0.125,0.098214286
mitmproxy+mitmproxy,v2.0.2,2324,bluir,2,62,0.016129032,0.018165526
mitmproxy+mitmproxy,v2.0.2,2407,buglocator,2,15,0.066666667,0.053333333
mitmproxy+mitmproxy,v2.0.2,2407,bluir,2,21,0.047619048,0.050125313
mitmproxy+mitmproxy,v2.0.2,2724,buglocator,3,25,0.04,0.033766126
mitmproxy+mitmproxy,v2.0.2,2724,bluir,3,58,0.017241379,0.019224801
mitmproxy+mitmproxy,v3.0.0rc2,2869,buglocator,1,270,0.003703704,0.003703704
mitmproxy+mitmproxy,v3.0.0rc2,2869,bluir,1,329,0.003039514,0.003039514
mitmproxy+mitmproxy,v3.0.4,3080,buglocator,1,7,0.142857143,0.142857143
mitmproxy+mitmproxy,v3.0.4,3080,bluir,1,10,0.1,0.1
mitmproxy+mitmproxy,v5.0.1,3765,buglocator,1,5,0.2,0.2
mitmproxy+mitmproxy,v5.0.1,3765,bluir,1,290,0.003448276,0.003448276
mitmproxy+mitmproxy,v7.0.4,5077,buglocator,1,1,1,1
mitmproxy+mitmproxy,v7.0.4,5077,bluir,1,1,1,1
mitmproxy+mitmproxy,v7.0.4,5089,buglocator,1,359,0.002785515,0.002785515
mitmproxy+mitmproxy,v7.0.4,5089,bluir,1,281,0.003558719,0.003558719
mitmproxy+mitmproxy,v7.0.4,5109,buglocator,4,1,1,0.579051383
mitmproxy+mitmproxy,v7.0.4,5109,bluir,4,2,0.5,0.244320215
mitmproxy+mitmproxy,v7.0.4,5159,buglocator,1,15,0.066666667,0.066666667
mitmproxy+mitmproxy,v7.0.4,5159,bluir,1,24,0.041666667,0.041666667
mitmproxy+mitmproxy,v8.0.0,5316,buglocator,2,17,0.058823529,0.048642534
mitmproxy+mitmproxy,v8.0.0,5316,bluir,2,6,0.166666667,0.103741497
mitmproxy+mitmproxy,v8.0.0,5337,buglocator,2,15,0.066666667,0.07037037
mitmproxy+mitmproxy,v8.0.0,5337,bluir,2,10,0.1,0.058849558
mitmproxy+mitmproxy,v8.0.0,5343,buglocator,1,2,0.5,0.5
mitmproxy+mitmproxy,v8.0.0,5343,bluir,1,3,0.333333333,0.333333333
mitmproxy+mitmproxy,v8.1.0,5372,buglocator,2,1,1,0.7
mitmproxy+mitmproxy,v8.1.0,5372,bluir,2,1,1,0.666666667
mitmproxy+mitmproxy,v8.1.0,5405,buglocator,1,10,0.1,0.1
mitmproxy+mitmproxy,v8.1.0,5405,bluir,1,1,1,1
mitmproxy+mitmproxy,v8.1.1,5474,buglocator,1,5,0.2,0.2
mitmproxy+mitmproxy,v8.1.1,5474,bluir,1,155,0.006451613,0.006451613
pallets+flask,0.10.1,1129,buglocator,1,1,1,1
pallets+flask,0.10.1,1129,bluir,1,7,0.142857143,0.142857143
pallets+flask,0.11.1,1911,buglocator,1,1,1,1
pallets+flask,0.11.1,1911,bluir,1,24,0.041666667,0.041666667
pallets+flask,0.11.1,2087,buglocator,2,1,1,1
pallets+flask,0.11.1,2087,bluir,2,1,1,0.75
pallets+flask,0.11.1,2118,buglocator,2,1,1,1
pallets+flask,0.11.1,2118,bluir,2,4,0.25,0.325
pallets+flask,0.12.1,2267,buglocator,1,1,1,1
pallets+flask,0.12.1,2267,bluir,1,1,1,1
pallets+flask,0.12.2,2357,buglocator,1,4,0.25,0.25
pallets+flask,0.12.2,2357,bluir,1,4,0.25,0.25
pallets+flask,0.12.2,2372,buglocator,1,3,0.333333333,0.333333333
pallets+flask,0.12.2,2372,bluir,1,60,0.016666667,0.016666667
